id,text,proposed_label,category,cue,reason,family_id,variant_type,source,review_status,reviewer,review_note,clean_reference_text,asr_noise_note,attention_note,label_before_review,label
CV03_001,Em xoay chiếc quạt kẹp sang bên để cả nhà thấy nút chỉnh gió ở cạnh chân để.,KHONG_CANH_BAO,PIN_QUAT,thấy nút chỉnh gió,"Thao tác giới thiệu vị trí nút bấm, không tuyên bố hiệu năng.",CV03_F001,ASR_LIKE,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,Em xoay chiếc quạt kẹp sang bên để cả nhà thấy nút chỉnh gió ở cạnh chân đế.,Nhiễu ASR giả lập: chân đế → chân để; không đổi dấu hiệu quyết định nhãn.,,KHONG_CANH_BAO,KHONG_CANH_BAO
CV03_002,"Quạt kẹp chạy được sáu giờ ở nấc gió thấp sau khi sạc, ai cần em gửi bản đo của hãng.",CAN_XAC_MINH,PIN_QUAT,sáu giờ ở nấc gió thấp,Thời lượng định lượng cần đối chiếu bản đo và điều kiện pin; hứa gửi chưa phải bằng chứng đã kiểm tra.,CV03_F001,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,CAN_XAC_MINH,CAN_XAC_MINH
CV03_003,"Bản đo quạt kẹp chỉ ghi hai giờ mà trên live em đọc thành sáu giờ, cứ giấu bản đo đi cho dễ bán.",CANH_BAO,PIN_QUAT,chỉ ghi hai giờ; đọc thành sáu giờ,Chủ động xuyên tạc số đo và giấu tài liệu khi bán hàng.,CV03_F001,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,CANH_BAO,CANH_BAO
CV03_004,"Cổng cắm sạc của micro nằm dưới nắp cao xu, em chỉ chỗ này để các bác khỏi tìm lâu.",KHONG_CANH_BAO,PIN_MIC,chỉ chỗ,"Hướng dẫn tìm cổng sạc, không hứa thời lượng hay khả năng chống nước.",CV03_F002,ASR_LIKE,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,"Cổng cắm sạc của micro nằm dưới nắp cao su, em chỉ chỗ này để các bác khỏi tìm lâu.",Nhiễu ASR giả lập: cao su → cao xu; không đổi dấu hiệu quyết định nhãn.,,KHONG_CANH_BAO,KHONG_CANH_BAO
CV03_005,"Một lượt nạp đầy cho micro thu tiếng liên tục mười giờ ở chế độ thường, số liệu này có trong hồ sơ thử pin.",CAN_XAC_MINH,PIN_MIC,thu tiếng liên tục mười giờ,Khẳng định thời lượng sử dụng cần kiểm tra chế độ đo và hồ sơ.,CV03_F002,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,"Có hồ sơ thử pin là lời người bán, chưa xác thực hồ sơ; không nâng thành gian dối chỉ vì số giờ.",CAN_XAC_MINH,CAN_XAC_MINH
CV03_006,"Micro đang bị chai pin nhưng em sửa ảnh thông số thành pin mới, khách xem ảnh sẽ tưởng chưa có lỗi.",CANH_BAO,PIN_MIC,sửa ảnh thông số thành pin mới,Cố tình sửa thông tin để che giấu tình trạng pin.,CV03_F002,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,CANH_BAO,CANH_BAO
CV03_007,"Em nhấc tấm lọc ra cho mọi người thấy chiều lắp, mũi tên phải quay về phía thân máy.",KHONG_CANH_BAO,HIEU_QUA_LOC_BUI,thấy chiều lắp,Mô tả thao tác lắp bộ lọc thông thường.,CV03_F003,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,KHONG_CANH_BAO,KHONG_CANH_BAO
CV03_008,"Bộ lọc hút được chín mươi lăm phần trăm bụi trong buồn thử của hãng, mình cần xem cỡ hạt trong biên bản.",CAN_XAC_MINH,HIEU_QUA_LOC_BUI,chín mươi lăm phần trăm bụi,Hiệu suất định lượng phụ thuộc cỡ hạt và buồng thử; chưa có dấu hiệu thừa nhận gian dối.,CV03_F003,ASR_LIKE,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,"Bộ lọc hút được chín mươi lăm phần trăm bụi trong buồng thử của hãng, mình cần xem cỡ hạt trong biên bản.",Nhiễu ASR giả lập: buồng thử → buồn thử; không đổi dấu hiệu quyết định nhãn.,Tỷ lệ lọc có phạm vi buồng thử; không suy diễn thành hiệu quả ở mọi phòng.,CAN_XAC_MINH,CAN_XAC_MINH
CV03_009,Kết quả lọc bụi thấp quá nên em lấy biên bản của máy khác gắn vào mẫu đang bán để khách tin hiệu suất cao.,CANH_BAO,HIEU_QUA_LOC_BUI,lấy biên bản của máy khác,Dùng tài liệu không thuộc sản phẩm để gây hiểu lầm về hiệu suất.,CV03_F003,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,CANH_BAO,CANH_BAO
CV03_010,"Đầu vòi đang tháo rời trên khay, các bác kiểm tra kiểu ren nhà mình trước khi chọn nhé.",KHONG_CANH_BAO,HIEU_QUA_VOI_NUOC,kiểm tra kiểu ren,"Hướng dẫn lựa chọn cấu hình phù hợp, không khẳng định tiết kiệm.",CV03_F004,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,KHONG_CANH_BAO,KHONG_CANH_BAO
CV03_011,"Đầu vòi này giảm được bốn mươi phần trăm lượng nước so với đầu thường ở cùng áp lực, em có bảng đo lưu lượng.",CAN_XAC_MINH,HIEU_QUA_VOI_NUOC,bốn mươi phần trăm; cùng áp lực,"So sánh định lượng cần bảng đo, đầu đối chứng và áp lực thử.",CV03_F004,CLEAN,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,,,,CAN_XAC_MINH,CAN_XAC_MINH
CV03_012,Lúc quay so vòi nướt em cố ý khóa bớt van bên mẫu của shop rồi bảo khách là tự nó tiết kiệm hơn.,CANH_BAO,HIEU_QUA_VOI_NUOC,cố ý khóa bớt van,Dàn dựng phép so sánh để đánh lừa người xem.,CV03_F004,ASR_LIKE,TARGETED_ERROR_ANALYSIS_V03,DA_DUYET,Vũ Hồng Phúc,Đã đọc và xác nhận giữ nguyên nhãn theo tiêu chí nghiệp vụ.,Lúc quay so vòi nước em cố ý khóa bớt van bên mẫu của shop rồi bảo khách là tự nó tiết kiệm hơn.,Nhiễu ASR giả lập: vòi nước → vòi nướt; không đổi dấu hiệu quyết định nhãn.,,CANH_BAO,CANH_BAO
