"id","text","label","category","cue","reason","evidence_needed","family_id","policy_id","policy_url","source_type","source_id","review_status","reviewer","review_note","created_at","split","ai_review_date","review_basis","label_before_review","needs_context"
"LS0001","Không có bảng xếp hạng nào đâu, nhưng em cứ khẳng định chai này top 1 toàn châu Á cho các bác chốt.","CANH_BAO","VI_THE","top 1","Tự thừa nhận không có bảng xếp hạng nhưng vẫn khẳng định đứng đầu châu Á để thúc đẩy mua.","Bảng xếp hạng chai đang bán; đơn vị xếp hạng, tiêu chí, kỳ và phạm vi châu Á/ngành hàng.","F001","P02","https://seller-vn.tiktok.com/university/essay?knowledge_id=756088748623617","synthetic_ai","SYNTH_V01_F001","DA_DUYET_AI","ChatGPT (AI)","AI rà soát theo hướng dẫn v0.2; chưa được con người duyệt độc lập.","2026-09-07","unassigned","2026-09-08","text_only_v02","CANH_BAO","no"
"LS0002","Chai này top 1 ngành hàng luôn nha cả nhà.","CAN_XAC_MINH","VI_THE","top 1","Khẳng định top 1 ngành hàng nhưng chưa nêu thước đo, kỳ đánh giá hoặc đơn vị xếp hạng.","Bảng xếp hạng chai đang bán; đơn vị xếp hạng, tiêu chí, kỳ và phạm vi châu Á/ngành hàng.","F001","P02","https://seller-vn.tiktok.com/university/essay?knowledge_id=756088748623617","synthetic_ai","SYNTH_V01_F001","DA_DUYET_AI","ChatGPT (AI)","AI rà soát theo hướng dẫn v0.2; chưa được con người duyệt độc lập.","2026-09-07","unassigned","2026-09-08","text_only_v02","CAN_XAC_MINH","no"
"LS0003","Chai này nằm trong top 1 món em thích nhất ở nhà, đó là sở thích riêng của em.","KHONG_CANH_BAO","VI_THE","top 1","Top 1 chỉ nói về sở thích riêng ở nhà, không xếp hạng khách quan trên thị trường.","Không cần thêm để phân loại riêng đoạn này: Top 1 chỉ nói về sở thích riêng ở nhà, không xếp hạng khách quan trên thị trường. Không xác nhận chất lượng hay tính đúng của toàn bộ sản phẩm.","F001","P02","https://seller-vn.tiktok.com/university/essay?knowledge_id=756088748623617","synthetic_ai","SYNTH_V01_F001","DA_DUYET","","Giữ xác nhận DA_DUYET của người dùng; AI rà soát đồng ý với nhãn.","2026-09-07","unassigned","2026-09-08","text_only_v02","KHONG_CANH_BAO","no"
"LS0004","Đỉnh của chóp là tốt nhất thế giới đấy, em chưa kiểm chứng nhưng bảo đảm không hãng nào hơn.","CANH_BAO","VI_THE","đỉnh của chóp","Tự thừa nhận chưa kiểm chứng nhưng bảo đảm tốt nhất thế giới và không hãng nào hơn.","Mẫu sản phẩm so sánh, phép thử độ bền/chất lượng, thời gian thử và phạm vi thị trường.","F002","P02","https://seller-vn.tiktok.com/university/essay?knowledge_id=756088748623617","synthetic_ai","SYNTH_V01_F002","DA_DUYET_AI","ChatGPT (AI)","AI rà soát theo hướng dẫn v0.2; chưa được con người duyệt độc lập.","2026-09-07","unassigned","2026-09-08","text_only_v02","CANH_BAO","no"
"LS0005","Mã này đỉnh của chóp về độ bền trong tất cả các hãng trên thị trường.","CAN_XAC_MINH","VI_THE","đỉnh của chóp","Khẳng định vượt mọi hãng về độ bền; cần phép thử và phạm vi so sánh cụ thể.","Mẫu sản phẩm so sánh, phép thử độ bền/chất lượng, thời gian thử và phạm vi thị trường.","F002","P02","https://seller-vn.tiktok.com/university/essay?knowledge_id=756088748623617","synthetic_ai","SYNTH_V01_F002","DA_DUYET_AI","ChatGPT (AI)","AI rà soát theo hướng dẫn v0.2; chưa được con người duyệt độc lập.","2026-09-07","unassigned","2026-09-08","text_only_v02","CAN_XAC_MINH","no"
"LS0006","Màu tím này với em là đỉnh của chóp, em thích màu tím thôi nha.","KHONG_CANH_BAO","VI_THE","đỉnh của chóp","Đỉnh của chóp là cảm nhận về màu yêu thích, không phải cam kết chất lượng tuyệt đối.","Không cần thêm để phân loại riêng đoạn này: Đỉnh của chóp là cảm nhận về màu yêu thích, không phải cam kết chất lượng tuyệt đối. Không xác nhận chất lượng hay tính đúng của toàn bộ sản phẩm.","F002","P02","https://seller-vn.tiktok.com/university/essay?knowledge_id=756088748623617","synthetic_ai","SYNTH_V01_F002","DA_DUYET_AI","ChatGPT (AI)","AI rà soát theo hướng dẫn v0.2; chưa được con người duyệt độc lập.","2026-09-07","unassigned","2026-09-08","text_only_v02","KHONG_CANH_BAO","no"
"LS0007","Đơn chưa có nhưng cứ gọi là bán chạy nhất toàn sàn, em nói thế để khách yên tâm mua.","CANH_BAO","VI_THE","bán chạy nhất","Tự thừa nhận chưa có đơn nhưng gắn danh hiệu bán chạy nhất toàn sàn để tạo lòng tin.","Dữ liệu doanh số hoặc số đơn theo ngành hàng, kỳ tháng và phạm vi toàn sàn.","F003","P02","https://seller-vn.tiktok.com/university/essay?knowledge_id=756088748623617","synthetic_ai","SYNTH_V01_F003","DA_DUYET_AI","ChatGPT (AI)","AI rà soát theo hướng dẫn v0.2; chưa được con người duyệt độc lập.","2026-09-07","unassigned","2026-09-08","text_only_v02","CANH_BAO","no"
"LS0008","Đây là best seller toàn sàn tháng này, các bác lấy giúp em.","CAN_XAC_MINH","VI_THE","bán chạy nhất","Best seller toàn sàn tháng này là xếp hạng doanh số cần dữ liệu nền tảng chứng minh.","Dữ liệu doanh số hoặc số đơn theo ngành hàng, kỳ tháng và phạm vi toàn sàn.","F003","P02","https://seller-vn.tiktok.com/university/essay?knowledge_id=756088748623617","synthetic_ai","SYNTH_V01_F003","DA_DUYET_AI","ChatGPT (AI)","AI rà soát theo hướng dẫn v0.2; chưa được con người duyệt độc lập.","2026-09-07","unassigned","2026-09-08","text_only_v02","CAN_XAC_MINH","no"
"LS0009","Em chưa biết mẫu nào bán chạy nhất, mình chọn theo nhu cầu nhé.","KHONG_CANH_BAO","VI_THE","bán chạy nhất","Người nói chưa biết mẫu bán chạy nhất và không khẳng định mẫu đang bán giữ vị trí đó.","Không cần thêm để phân loại riêng đoạn này: Người nói chưa biết mẫu bán chạy nhất và không khẳng định mẫu đang bán giữ vị trí đó. Không xác nhận chất lượng hay tính đúng của toàn bộ sản phẩm.","F003","P02","https://seller-vn.tiktok.com/university/essay?knowledge_id=756088748623617","synthetic_ai","SYNTH_V01_F003","DA_DUYET","","Giữ xác nhận DA_DUYET của người dùng; AI rà soát đồng ý với nhãn.","2026-09-07","unassigned","2026-09-08","text_only_v02","KHONG_CANH_BAO","no"
"LS0010","Nhiều shop có mẫu này nhưng em vẫn cam kết chỉ mình em bán trên cả nước.","CANH_BAO","VI_THE","duy nhất","Trong cùng câu vừa nói nhiều shop có hàng vừa cam kết chỉ mình bán trên cả nước.","Hồ sơ quyền độc quyền công thức hoặc phân phối; giới hạn lãnh thổ và thời gian.","F004","P02","https://seller-vn.tiktok.com/university/essay?knowledge_id=756088748623617","synthetic_ai","SYNTH_V01_F004","DA_DUYET_AI","ChatGPT (AI)","AI rà soát theo hướng dẫn v0.2; chưa được con người duyệt độc lập.","2026-09-07","unassigned","2026-09-08","text_only_v02","CANH_BAO","no"
"LS0011","Công thức này độc quyền, chỉ hãng em có thôi.","CAN_XAC_MINH","VI_THE","duy nhất","Khẳng định công thức chỉ một hãng có; quyền độc quyền và phạm vi cần chứng cứ.","Hồ sơ quyền độc quyền công thức hoặc phân phối; giới hạn lãnh thổ và thời gian.","F004","P02","https://seller-vn.tiktok.com/university/essay?knowledge_id=756088748623617","synthetic_ai","SYNTH_V01_F004","DA_DUYET_AI","ChatGPT (AI)","AI rà soát theo hướng dẫn v0.2; chưa được con người duyệt độc lập.","2026-09-07","unassigned","2026-09-08","text_only_v02","CAN_XAC_MINH","no"
"LS0012","Trên bàn em hiện chỉ có duy nhất một chiếc màu xanh để quay cận cảnh.","KHONG_CANH_BAO","VI_THE","duy nhất","Duy nhất giới hạn vào chiếc mẫu trên bàn, không tuyên bố độc quyền toàn thị trường.","Không cần thêm để phân loại riêng đoạn này: Duy nhất giới hạn vào chiếc mẫu trên bàn, không tuyên bố độc quyền toàn thị trường. Không xác nhận chất lượng hay tính đúng của toàn bộ sản phẩm.","F004","P02","https://seller-vn.tiktok.com/university/essay?knowledge_id=756088748623617","synthetic_ai","SYNTH_V01_F004","DA_DUYET_AI","ChatGPT (AI)","AI rà soát theo hướng dẫn v0.2; chưa được con người duyệt độc lập.","2026-09-07","unassigned","2026-09-08","text_only_v02","KHONG_CANH_BAO","no"
"LS0013","Em không có số đo nào nhưng cam kết máy này ăn đứt mọi hãng về mọi mặt, chắc chắn luôn.","CANH_BAO","VI_THE","không có đối thủ","Tự nhận không có số đo nhưng bảo đảm hơn mọi hãng về mọi mặt.","Thông số các mẫu máy, phép thử thời lượng pin và định nghĩa phân khúc.","F005","P02","https://seller-vn.tiktok.com/university/essay?knowledge_id=756088748623617","synthetic_ai","SYNTH_V01_F005","DA_DUYET_AI","ChatGPT (AI)","AI rà soát theo hướng dẫn v0.2; chưa được con người duyệt độc lập.","2026-09-07","unassigned","2026-09-08","text_only_v02","CANH_BAO","no"
"LS0014","Máy này không có đối thủ về thời lượng pin trong phân khúc.","CAN_XAC_MINH","VI_THE","không có đối thủ","So sánh đứng đầu về pin trong phân khúc; thiếu định nghĩa phân khúc và phép đo.","Thông số các mẫu máy, phép thử thời lượng pin và định nghĩa phân khúc.","F005","P02","https://seller-vn.tiktok.com/university/essay?knowledge_id=756088748623617","synthetic_ai","SYNTH_V01_F005","DA_DUYET_AI","ChatGPT (AI)","AI rà soát theo hướng dẫn v0.2; chưa được con người duyệt độc lập.","2026-09-07","unassigned","2026-09-08","text_only_v02","CAN_XAC_MINH","no"
"LS0015","Đừng dựa vào mỗi câu không có đối thủ; hãy xem dung lượng pin và nhu cầu của mình.","KHONG_CANH_BAO","VI_THE","không có đối thủ","Khuyên người xem không dựa vào khẩu hiệu không có đối thủ, không tán thành khẩu hiệu đó.","Không cần thêm để phân loại riêng đoạn này: Khuyên người xem không dựa vào khẩu hiệu không có đối thủ, không tán thành khẩu hiệu đó. Không xác nhận chất lượng hay tính đúng của toàn bộ sản phẩm.","F005","P02","https://seller-vn.tiktok.com/university/essay?knowledge_id=756088748623617","synthetic_ai","SYNTH_V01_F005","DA_DUYET","","Giữ xác nhận DA_DUYET của người dùng; AI rà soát đồng ý với nhãn.","2026-09-07","unassigned","2026-09-08","text_only_v02","KHONG_CANH_BAO","no"
"LS0016","Đây là trà uống thường ngày, em cam kết uống vào chữa khỏi bệnh tiểu đường một trăm phần trăm.","CANH_BAO","CHUA_BENH","chữa khỏi 100%","Gán khả năng chữa khỏi tiểu đường tuyệt đối cho trà thông thường; dấu hiệu cam kết chữa bệnh rõ.","Tên sản phẩm, loại hàng, bệnh được nhắc, công dụng được phép và tài liệu công dụng phù hợp.","F006","P04","https://seller-vn.tiktok.com/university/essay?knowledge_id=7426787169011473","synthetic_ai","SYNTH_V01_F006","DA_DUYET_AI","ChatGPT (AI)","AI rà soát theo hướng dẫn v0.2; chưa được con người duyệt độc lập.","2026-09-07","unassigned","2026-09-08","text_only_v02","CANH_BAO","no"
"LS0017","Cái này chữa được bệnh đó đấy, chị lấy một hộp nhé.","CAN_XAC_MINH","CHUA_BENH","chữa khỏi 100%","Người bán khẳng định chữa được bệnh nhưng không xác định sản phẩm hay bệnh; cần ngữ cảnh để phân loại mức rủi ro.","Tên sản phẩm, loại hàng, bệnh được nhắc, công dụng được phép và tài liệu công dụng phù hợp.","F006","P04","https://seller-vn.tiktok.com/university/essay?knowledge_id=7426787169011473","synthetic_ai","SYNTH_V01_F006","DA_DUYET_AI","ChatGPT (AI)","AI rà soát theo hướng dẫn v0.2; chưa được con người duyệt độc lập.","2026-09-07","unassigned","2026-09-08","text_only_v02","CAN_XAC_MINH","yes"
"LS0018","Đừng tin lời quảng cáo trà chữa khỏi bệnh một trăm phần trăm.","KHONG_CANH_BAO","CHUA_BENH","chữa khỏi 100%","Khuyên đừng tin lời quảng cáo chữa khỏi bệnh, không đưa ra cam kết chữa bệnh.","Không cần thêm để phân loại riêng đoạn này: Khuyên đừng tin lời quảng cáo chữa khỏi bệnh, không đưa ra cam kết chữa bệnh. Không xác nhận chất lượng hay tính đúng của toàn bộ sản phẩm.","F006","P04","https://seller-vn.tiktok.com/university/essay?knowledge_id=7426787169011473","synthetic_ai","SYNTH_V01_F006","DA_DUYET","","Giữ xác nhận DA_DUYET của người dùng; AI rà soát đồng ý với nhãn.","2026-09-07","unassigned","2026-09-08","text_only_v02","KHONG_CANH_BAO","no"
"LS0019","Vòng đeo này xử lý tận gốc bệnh xương khớp, đeo ba ngày là khỏi hẳn cho mọi người.","CANH_BAO","CHUA_BENH","dứt điểm","Hứa vòng đeo chữa tận gốc bệnh xương khớp trong ba ngày cho mọi người.","Câu trước/sau để biết vấn đề được xử lý; nếu là bệnh thì cần hồ sơ sản phẩm và căn cứ chữa bệnh.","F007","P04","https://seller-vn.tiktok.com/university/essay?knowledge_id=7426787169011473","synthetic_ai","SYNTH_V01_F007","DA_DUYET_AI","ChatGPT (AI)","AI rà soát theo hướng dẫn v0.2; chưa được con người duyệt độc lập.","2026-09-07","unassigned","2026-09-08","text_only_v02","CANH_BAO","no"
"LS0020","Mã này xử lý tận gốc luôn, chị cứ chốt đi.","CAN_XAC_MINH","CHUA_BENH","dứt điểm","Cụm xử lý tận gốc dùng để chốt hàng nhưng chưa rõ đang xử lý bệnh, vết bẩn hay vấn đề khác.","Câu trước/sau để biết vấn đề được xử lý; nếu là bệnh thì cần hồ sơ sản phẩm và căn cứ chữa bệnh.","F007","P04","https://seller-vn.tiktok.com/university/essay?knowledge_id=7426787169011473","synthetic_ai","SYNTH_V01_F007","DA_DUYET_AI","ChatGPT (AI)","AI rà soát theo hướng dẫn v0.2; chưa được con người duyệt độc lập.","2026-09-07","unassigned","2026-09-08","text_only_v02","CAN_XAC_MINH","yes"
"LS0021","Mình cần xử lý tận gốc lỗi đóng gói trước khi gửi hàng tiếp.","KHONG_CANH_BAO","CHUA_BENH","dứt điểm","Xử lý tận gốc nói về lỗi đóng gói nội bộ, không quảng cáo khả năng chữa bệnh.","Không cần thêm để phân loại riêng đoạn này: Xử lý tận gốc nói về lỗi đóng gói nội bộ, không quảng cáo khả năng chữa bệnh. Không xác nhận chất lượng hay tính đúng của toàn bộ sản phẩm.","F007","P04","https://seller-vn.tiktok.com/university/essay?knowledge_id=7426787169011473","synthetic_ai","SYNTH_V01_F007","DA_DUYET_AI","ChatGPT (AI)","AI rà soát theo hướng dẫn v0.2; chưa được con người duyệt độc lập.","2026-09-07","unassigned","2026-09-08","text_only_v02","KHONG_CANH_BAO","no"
"LS0022","Mua viên bổ này rồi bỏ thuốc bác sĩ kê đi, nó thay được toàn bộ thuốc điều trị.","CANH_BAO","CHUA_BENH","thay thuốc","Khuyến khích bỏ thuốc kê đơn và dùng viên bổ thay toàn bộ thuốc điều trị.","Xác định cái mới/cũ; nếu liên quan điều trị thì cần tên thuốc, loại sản phẩm và công dụng được phép.","F008","P04","https://seller-vn.tiktok.com/university/essay?knowledge_id=7426787169011473","synthetic_ai","SYNTH_V01_F008","DA_DUYET_AI","ChatGPT (AI)","AI rà soát theo hướng dẫn v0.2; chưa được con người duyệt độc lập.","2026-09-07","unassigned","2026-09-08","text_only_v02","CANH_BAO","no"
"LS0023","Lấy cái này về là không cần cái cũ nữa đâu.","KHONG_CANH_BAO","CHUA_BENH","thay thuốc","Chỉ nói thay đồ cũ bằng đồ mới; không có từ chỉ bệnh, điều trị hay cam kết hiệu quả để suy ra rủi ro sức khỏe.","Không cần thêm để phân loại riêng đoạn này: Chỉ nói thay đồ cũ bằng đồ mới; không có từ chỉ bệnh, điều trị hay cam kết hiệu quả để suy ra rủi ro sức khỏe. Không xác nhận chất lượng hay tính đúng của toàn bộ sản phẩm.","F008","P04","https://seller-vn.tiktok.com/university/essay?knowledge_id=7426787169011473","synthetic_ai","SYNTH_V01_F008","DA_DUYET_AI","ChatGPT (AI)","AI rà soát theo hướng dẫn v0.2; chưa được con người duyệt độc lập. Đổi nhãn: CAN_XAC_MINH → KHONG_CANH_BAO.","2026-09-07","unassigned","2026-09-08","text_only_v02","CAN_XAC_MINH","no"
"LS0024","Đừng tự bỏ thuốc bác sĩ kê chỉ vì lời giới thiệu sản phẩm trên live.","KHONG_CANH_BAO","CHUA_BENH","thay thuốc","Khuyên đừng bỏ thuốc kê đơn; đây là lời cảnh báo bảo vệ người mua.","Không cần thêm để phân loại riêng đoạn này: Khuyên đừng bỏ thuốc kê đơn; đây là lời cảnh báo bảo vệ người mua. Không xác nhận chất lượng hay tính đúng của toàn bộ sản phẩm.","F008","P04","https://seller-vn.tiktok.com/university/essay?knowledge_id=7426787169011473","synthetic_ai","SYNTH_V01_F008","DA_DUYET","","Giữ xác nhận DA_DUYET của người dùng; AI rà soát đồng ý với nhãn.","2026-09-07","unassigned","2026-09-08","text_only_v02","KHONG_CANH_BAO","no"
